stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:101004,Bjørndalen sør,60.368838,5.492424,,,NSR:StopPlace:59134,,700,
NSR:Quay:101005,Bjørndalen sør,60.368777,5.492225,,,NSR:StopPlace:59134,,700,
NSR:Quay:101006,Bjørndalen,60.373451,5.493797,,,NSR:StopPlace:59135,,700,
NSR:Quay:101007,Bjørndalen,60.373415,5.493628,,,NSR:StopPlace:59135,,700,
NSR:Quay:101008,Skjoldalkrysset,60.376860,5.509029,,,NSR:StopPlace:59136,,700,
NSR:Quay:101009,Skjoldalkrysset,60.376876,5.508903,,,NSR:StopPlace:59136,,700,
NSR:Quay:101010,Bjørndalen,60.378201,5.518594,,,NSR:StopPlace:59137,,700,
NSR:Quay:101011,Bjørndalen,60.378163,5.518814,,,NSR:StopPlace:59137,,700,
NSR:Quay:101012,Osevatn,60.379792,5.522022,,,NSR:StopPlace:59138,,700,
NSR:Quay:101014,Myrdalsvegen,60.469452,5.323976,,,NSR:StopPlace:59140,,700,
NSR:Quay:101023,Espeland ved Moldalia,60.378724,5.465333,,,NSR:StopPlace:30075,,700,
NSR:Quay:101030,Toftøydalen sør,60.473520,4.948300,,,NSR:StopPlace:33834,,700,
NSR:Quay:101031,Toftøydalen,60.477569,4.944738,,,NSR:StopPlace:33836,,700,
NSR:Quay:101032,Toftøy skule,60.480528,4.945374,,,NSR:StopPlace:59148,,700,
NSR:Quay:101033,Toftøydalen nord,60.486085,4.943915,,,NSR:StopPlace:33838,,700,
NSR:Quay:101038,Tjeldstø skule,60.592793,4.843034,,,NSR:StopPlace:59152,,700,
NSR:Quay:101040,Rong barneskule,60.510840,4.902491,,,NSR:StopPlace:59153,,700,
NSR:Quay:101041,Slettafjellet,60.262508,5.092303,,,NSR:StopPlace:29482,,700,
NSR:Quay:101045,Foldnes skule,60.366488,5.117102,,,NSR:StopPlace:59156,,700,
NSR:Quay:101046,Morland kryss Morlandsvegen,60.366875,5.065679,,,NSR:StopPlace:30696,,700,
NSR:Quay:101047,Støastølen kryss Morlandsvegen,60.366069,5.064316,,,NSR:StopPlace:30701,,700,
NSR:Quay:101048,Hauane,60.362567,5.062364,,,NSR:StopPlace:28967,,700,
NSR:Quay:101050,Porsvika,60.347503,4.968653,,,NSR:StopPlace:30188,,700,
NSR:Quay:101051,Morlandskogen,60.355728,5.061776,,,NSR:StopPlace:30706,,700,
NSR:Quay:101052,Åsenvegen,60.447307,5.215317,,,NSR:StopPlace:32629,,700,
NSR:Quay:101056,Midstegen snuplass,60.271044,5.081445,,,NSR:StopPlace:59157,,700,
NSR:Quay:101264,Dale heradshus,60.590075,5.822789,,,NSR:StopPlace:59311,,700,
NSR:Quay:101349,Alvøen skole Janaflaten,60.365933,5.188277,,,NSR:StopPlace:59388,,700,
NSR:Quay:101385,Frekhaug kai,60.517478,5.248050,,,NSR:StopPlace:59410,,700,
NSR:Quay:101436,Heiane sør,59.760449,5.447698,,,NSR:StopPlace:59448,,700,
NSR:Quay:101437,Heiane sør,59.760618,5.448441,,,NSR:StopPlace:59448,,700,
NSR:Quay:101444,Bruntveit kai,60.037798,5.436087,,,NSR:StopPlace:59452,,700,
NSR:Quay:101456,Lundsneset,59.960764,5.995746,,,NSR:StopPlace:59459,,700,
NSR:Quay:101457,Lundsneset,59.958953,5.994346,,,NSR:StopPlace:59459,,700,
NSR:Quay:101472,Beggevik,60.456255,6.569733,,,NSR:StopPlace:59475,,700,
NSR:Quay:101473,Beggevik,60.456067,6.573048,,,NSR:StopPlace:59475,,700,
NSR:Quay:101557,Strømgaten,60.389777,5.331022,,,NSR:StopPlace:59530,,700,
NSR:Quay:101558,Lars Hilles gate,60.389773,5.325545,,,NSR:StopPlace:59531,,700,X
NSR:Quay:101576,Arna terminal,60.420113,5.464046,,,NSR:StopPlace:32154,,700,C
NSR:Quay:101599,Åsane terminal,60.463403,5.320835,,,NSR:StopPlace:31024,,700,G
NSR:Quay:101781,Meatjørna,59.764445,5.450994,,,NSR:StopPlace:59759,,700,
NSR:Quay:101782,Meatjørna,59.764577,5.448454,,,NSR:StopPlace:59759,,700,
NSR:Quay:101840,Hafskor fv. 48,60.252305,5.687560,,,NSR:StopPlace:59807,,700,
NSR:Quay:101841,Hafskor fv. 48,60.251783,5.689883,,,NSR:StopPlace:59807,,700,
NSR:Quay:101842,Mølstre,59.521789,5.283067,,,NSR:StopPlace:59808,,700,
NSR:Quay:101843,Mølstre,59.521622,5.283136,,,NSR:StopPlace:59808,,700,
NSR:Quay:102089,Lindås skulestopp,60.735233,5.165327,,,NSR:StopPlace:58235,,700,
NSR:Quay:102090,Kjeilen,60.785672,5.010193,,,NSR:StopPlace:58236,,700,
NSR:Quay:102117,Myraneset,59.865100,5.121297,,,NSR:StopPlace:59917,,700,
NSR:Quay:102118,Myraneset,59.865149,5.121496,,,NSR:StopPlace:59917,,700,
NSR:Quay:102170,Lars Hilles gate,60.389711,5.325829,,,NSR:StopPlace:59531,,700,K
NSR:Quay:102171,Laksevåg senter,60.389255,5.287605,,,NSR:StopPlace:31831,,700,
NSR:Quay:102219,Lyngbø servicesenter,60.379397,5.271490,,,NSR:StopPlace:59981,,700,
NSR:Quay:102223,Stongafjellet snuplass,60.408836,5.204312,,,NSR:StopPlace:59984,,700,
NSR:Quay:102224,Stongafjellsbakken,60.406757,5.207925,,,NSR:StopPlace:59985,,700,
NSR:Quay:102225,Stongafjellsvegen,60.404809,5.210650,,,NSR:StopPlace:59986,,700,
NSR:Quay:102230,Stongafjellsvegen,60.404769,5.210776,,,NSR:StopPlace:59986,,700,
NSR:Quay:102232,Fureberg,60.102704,6.177111,,,NSR:StopPlace:31857,,700,
NSR:Quay:102266,Ænesvika,60.093763,6.120383,,,NSR:StopPlace:60006,,700,
NSR:Quay:102267,Ænesvika,60.093870,6.120045,,,NSR:StopPlace:60006,,700,
NSR:Quay:102357,Smørås snuplass,60.289810,5.348853,,,NSR:StopPlace:60056,,700,
NSR:Quay:102550,Kleppestø ungdomsskole,60.415341,5.219074,,,NSR:StopPlace:32499,,700,
NSR:Quay:102565,Knarvik terminal,60.546463,5.286344,,,NSR:StopPlace:32632,,700,A
NSR:Quay:102566,Knarvik terminal,60.546738,5.287428,,,NSR:StopPlace:32632,,700,B
NSR:Quay:102567,Knarvik terminal,60.546958,5.288292,,,NSR:StopPlace:32632,,700,C
NSR:Quay:102747,Os barneskule,60.188343,5.467286,,,NSR:StopPlace:60272,,700,
NSR:Quay:102826,Storrinden,60.303452,5.269307,,,NSR:StopPlace:29979,,700,
NSR:Quay:103076,Stokkabekken Bremnesvegen,59.797453,5.235009,,,NSR:StopPlace:60482,,700,
NSR:Quay:103086,Fitjar terminal,59.917780,5.317250,,,NSR:StopPlace:60487,,700,A
NSR:Quay:103087,Fitjar terminal,59.917830,5.316873,,,NSR:StopPlace:60487,,700,B
NSR:Quay:103122,Løvik,59.890499,5.770255,,,NSR:StopPlace:60501,,700,
NSR:Quay:103123,Løvik,59.890732,5.769947,,,NSR:StopPlace:60501,,700,
NSR:Quay:103225,Spildepollen skule,60.238871,5.040606,,,NSR:StopPlace:60572,,700,
NSR:Quay:103249,Vestrevågdalen,60.241112,5.040632,,,NSR:StopPlace:60576,,700,
NSR:Quay:103250,Grasbakken,60.238237,5.045364,,,NSR:StopPlace:60577,,700,
NSR:Quay:103461,Voss stasjon,60.629028,6.411992,,,NSR:StopPlace:443,1,700,B
NSR:Quay:103462,Voss stasjon,60.629065,6.412550,,,NSR:StopPlace:443,1,700,C
NSR:Quay:103463,Voss stasjon,60.628899,6.411992,,,NSR:StopPlace:443,1,700,E
NSR:Quay:103464,Voss stasjon,60.628920,6.412373,,,NSR:StopPlace:443,1,700,F
NSR:Quay:103465,Voss stasjon,60.628957,6.412797,,,NSR:StopPlace:443,1,700,G
NSR:Quay:103466,Voss stasjon,60.629078,6.412899,,,NSR:StopPlace:443,1,700,D
NSR:Quay:103523,Berge (Os),60.212040,5.530259,,,NSR:StopPlace:60671,,700,
NSR:Quay:103633,Svortland terminal,59.794234,5.179230,,,NSR:StopPlace:29421,,700,A
NSR:Quay:103634,Svortland terminal,59.794093,5.179359,,,NSR:StopPlace:29421,,700,B
NSR:Quay:103635,Svortland terminal,59.793959,5.179244,,,NSR:StopPlace:29421,,700,C
NSR:Quay:103636,Svortland terminal,59.794101,5.179043,,,NSR:StopPlace:29421,,700,D
NSR:Quay:103637,Svortland terminal,59.794216,5.178916,,,NSR:StopPlace:29421,,700,E
NSR:Quay:103768,Torvhusmyrane,60.612112,5.399893,,,NSR:StopPlace:60796,,700,
NSR:Quay:103769,Torvhusmyrane,60.614031,5.407704,,,NSR:StopPlace:60796,,700,
NSR:Quay:103996,Bergveien,60.338682,5.322710,,,NSR:StopPlace:29854,,700,
NSR:Quay:104131,Bjørnsvikane,60.110833,5.737004,,,NSR:StopPlace:60898,,700,
NSR:Quay:104132,Bjørnsvikane,60.110748,5.737261,,,NSR:StopPlace:60898,,700,
NSR:Quay:104459,Fanafjellsvegen,60.259345,5.353925,,,NSR:StopPlace:61027,,700,
NSR:Quay:104460,Fanafjellsvegen,60.258852,5.353673,,,NSR:StopPlace:61027,,700,
NSR:Quay:104558,Hadlingen,60.668145,6.520002,,,NSR:StopPlace:61087,,700,
NSR:Quay:104559,Hadlingen,60.667533,6.519482,,,NSR:StopPlace:61087,,700,
NSR:Quay:104764,Kuben,59.798724,5.205781,,,NSR:StopPlace:29439,,700,
NSR:Quay:104822,Natåssvingen,60.729083,5.263044,,,NSR:StopPlace:61239,,700,
NSR:Quay:104823,Natåssvingen,60.728967,5.263205,,,NSR:StopPlace:61239,,700,
NSR:Quay:104824,Natås,60.727257,5.262886,,,NSR:StopPlace:61240,,700,
NSR:Quay:104825,Natås,60.727254,5.263151,,,NSR:StopPlace:61240,,700,
NSR:Quay:104826,Natås barnehage,60.726452,5.256328,,,NSR:StopPlace:61241,,700,
NSR:Quay:104827,Natås barnehage,60.726377,5.255837,,,NSR:StopPlace:61241,,700,
NSR:Quay:104933,Haugsdal snuplass,60.844654,5.151300,,,NSR:StopPlace:61269,,700,
NSR:Quay:105124,Haugesund bussterminal,59.417101,5.273325,,,NSR:StopPlace:61355,,700,5
NSR:Quay:105125,Haugesund bussterminal,59.417051,5.273185,,,NSR:StopPlace:61355,,700,4
NSR:Quay:105179,Lyngbø,60.381057,5.269629,,,NSR:StopPlace:29693,,700,E
NSR:Quay:105187,Grindhaug,59.661215,5.999300,,,NSR:StopPlace:61389,,700,
NSR:Quay:105188,Grindhaug,59.661233,5.999367,,,NSR:StopPlace:61389,,700,
NSR:Quay:105224,Ådlandsstraumen sør,60.267396,5.253986,,,NSR:StopPlace:61407,,700,
NSR:Quay:105225,Ådlandsstraumen sør,60.267332,5.254179,,,NSR:StopPlace:61407,,700,
NSR:Quay:105226,Borgavegen,60.199635,5.488197,Hegglandsdalvegen,,NSR:StopPlace:61408,,700,
NSR:Quay:105227,Borgavegen,60.200112,5.488658,Hegglandsdalvegen,,NSR:StopPlace:61408,,700,
NSR:Quay:105449,Løypetona,60.512674,5.236638,,,NSR:StopPlace:61516,,700,
NSR:Quay:105450,Løypetona,60.512576,5.237469,,,NSR:StopPlace:61516,,700,
NSR:Quay:105481,Erevika,60.168992,5.597290,,,NSR:StopPlace:61528,,700,
NSR:Quay:105482,Erevika,60.169338,5.597719,,,NSR:StopPlace:61528,,700,
NSR:Quay:105587,Sletten snuplass,60.347694,5.359536,,,NSR:StopPlace:29779,,700,
NSR:Quay:105588,Sletten snuplass,60.348323,5.360287,,,NSR:StopPlace:29779,,700,
NSR:Quay:105675,Borgafjellet barneskule,60.199440,5.487050,Skolestopp,,NSR:StopPlace:63350,,700,
NSR:Quay:105720,Lønningshaugen,60.279888,5.236284,,,NSR:StopPlace:61630,,700,
NSR:Quay:105721,Lønningshaugen,60.279832,5.234057,,,NSR:StopPlace:61630,,700,
NSR:Quay:105732,Alversund skule,60.569285,5.234803,,,NSR:StopPlace:61637,,700,
NSR:Quay:105829,Vedavika,60.006662,5.990451,,,NSR:StopPlace:31824,,700,
NSR:Quay:105892,Meling nord,59.785455,5.135875,,,NSR:StopPlace:61702,,700,
NSR:Quay:105893,Meling nord,59.785181,5.135768,,,NSR:StopPlace:61702,,700,
NSR:Quay:105894,Ekornsæter sør,59.791812,5.258385,,,NSR:StopPlace:61703,,700,
NSR:Quay:105895,Ekornsæter sør,59.791939,5.258282,,,NSR:StopPlace:61703,,700,
NSR:Quay:105902,Sætrevika Sævellvegen,60.367766,5.718826,,,NSR:StopPlace:61708,,700,
NSR:Quay:105903,Sætrevika Sævellvegen,60.367647,5.718612,,,NSR:StopPlace:61708,,700,
NSR:Quay:105925,Totlandsbru,60.317261,5.363925,,,NSR:StopPlace:31451,,700,
NSR:Quay:105936,Dalen,59.838261,6.844085,,,NSR:StopPlace:61729,,700,
NSR:Quay:105937,Dalen,59.838967,6.842205,,,NSR:StopPlace:61729,,700,
NSR:Quay:106113,Lepsøy,60.151792,5.390811,,,NSR:StopPlace:61795,,700,
NSR:Quay:106136,Nøttveitlia,60.293064,5.348395,,,NSR:StopPlace:29459,,700,
NSR:Quay:106403,Hornelandsvågen aust,59.749929,5.456026,,,NSR:StopPlace:61892,,700,
NSR:Quay:106404,Skjersholmane kai,59.749323,5.465173,,,NSR:StopPlace:61893,,700,
NSR:Quay:106423,Etne terminal,59.664565,5.939113,,,NSR:StopPlace:61894,,700,
NSR:Quay:106652,Austrheim byggefelt,60.767971,4.916964,,,NSR:StopPlace:33371,,700,
NSR:Quay:106742,Soltveit nord,60.702640,5.004270,,,NSR:StopPlace:32612,,700,
NSR:Quay:106872,Tverråno,59.786212,5.171361,,,NSR:StopPlace:29455,,700,
NSR:Quay:106914,Helgatun snuplass,60.861912,6.494859,,,NSR:StopPlace:62097,,700,
NSR:Quay:106934,Fyllingsdalen terminal,60.348753,5.288828,,,NSR:StopPlace:62104,,900,A
NSR:Quay:106943,Fyllingsdalen terminal,60.349309,5.288098,,,NSR:StopPlace:62111,,700,E
NSR:Quay:106944,Fyllingsdalen terminal,60.349053,5.287932,,,NSR:StopPlace:62111,,700,C
NSR:Quay:106946,Fyllingsdalen terminal,60.349242,5.287554,,,NSR:StopPlace:62111,,700,K
NSR:Quay:106947,Fyllingsdalen terminal,60.349181,5.288029,,,NSR:StopPlace:62111,,700,D
NSR:Quay:106948,Fyllingsdalen terminal,60.349455,5.288216,,,NSR:StopPlace:62111,,700,F
NSR:Quay:106949,Fyllingsdalen terminal,60.349477,5.287726,,,NSR:StopPlace:62111,,700,H
